# IDX        LATG        LATC        LONW          MU          TB
  391      -44.25      -38.40       84.12      0.3534        1.43
  392      -44.15      -38.31       83.39      0.3561        1.55
  393      -44.07      -38.22       82.66      0.3586        1.36
  394      -43.99      -38.15       81.94      0.3608        0.82
  395      -43.92      -38.08       81.22      0.3628        0.02
  396      -43.86      -38.02       80.50      0.3646       -1.03
  397      -43.81      -37.97       79.78      0.3661       -2.23
  398      -43.76      -37.93       79.07      0.3673       -3.21
  399      -43.73      -37.89       78.36      0.3684       -3.42
  400      -43.70      -37.87       77.65      0.3692       -2.76
  401      -43.68      -37.85       76.94      0.3697       -1.79
  402      -43.67      -37.84       76.24      0.3701       -1.17
  403      -43.66      -37.83       75.53      0.3702       -1.10
  404      -43.67      -37.84       74.82      0.3701       -1.40
  405      -43.68      -37.85       74.11      0.3697       -1.64
  406      -43.70      -37.87       73.41      0.3692       -1.45
  407      -43.73      -37.89       72.70      0.3684       -0.71
  408      -43.76      -37.93       71.99      0.3673        0.27
  409      -43.81      -37.97       71.27      0.3660        1.18
  410      -43.86      -38.02       70.56      0.3645        2.04
  411      -43.92      -38.08       69.84      0.3628        3.15
  412      -43.99      -38.15       69.12      0.3608        4.58
  413      -44.07      -38.23       68.40      0.3585        5.76
  414      -44.16      -38.31       67.67      0.3561        5.92
  415      -44.25      -38.40       66.94      0.3533        4.94
  416      -44.36      -38.51       66.20      0.3503        3.42
  417      -44.47      -38.62       65.46      0.3470        2.05
  418      -44.60      -38.74       64.71      0.3435        1.09
  419      -44.73      -38.87       63.95      0.3397        0.50
  420      -44.88      -39.02       63.19      0.3355        0.16
  421      -45.03      -39.17       62.42      0.3311       -0.06
  422      -45.20      -39.33       61.64      0.3264       -0.32
  423      -45.38      -39.51       60.85      0.3213       -0.73
  424      -45.58      -39.70       60.05      0.3159       -1.21
  425      -45.78      -39.90       59.24      0.3101       -1.48
  426      -46.00      -40.12       58.41      0.3040       -1.47
  427      -46.24      -40.35       57.57      0.2974       -1.32
  428      -46.49      -40.60       56.71      0.2905       -1.08
  429      -46.76      -40.87       55.84      0.2830       -0.71
  430      -47.05      -41.16       54.94      0.2751       -0.29
  431      -47.36      -41.47       54.02      0.2666        0.01
  432      -47.69      -41.80       53.08      0.2576        0.12
  433      -48.05      -42.16       52.11      0.2479        0.09
  434      -48.44      -42.55       51.10      0.2375       -0.01
  435      -48.87      -42.97       50.05      0.2262       -0.21
  436      -49.33      -43.44       48.95      0.2141       -0.61
  437      -49.84      -43.95       47.79      0.2008       -1.28
  438      -50.40      -44.53       46.56      0.1861       -2.07
  439      -51.04      -45.18       45.24      0.1698       -2.55
  440      -51.77      -45.93       43.79      0.1513       -2.34
  441      -52.65      -46.83       42.15      0.1296       -1.56
  442      -53.75      -47.97       40.20      0.1028       -0.62
  443      -55.35      -49.65       37.57      0.0651        0.09
  444      -55.62      -49.94      117.24      0.0396        1.97
  445      -53.42      -47.63      113.71      0.0916       -0.13
  446      -52.14      -46.31      111.50      0.1228       -1.57
  447      -51.17      -45.31      109.71      0.1472       -2.50
  448      -50.37      -44.49      108.16      0.1677       -3.51
  449      -49.68      -43.79      106.77      0.1856       -5.15
  450      -49.07      -43.18      105.48      0.2015       -7.34
  451      -48.53      -42.63      104.28      0.2159       -9.30
  452      -48.03      -42.14      103.15      0.2291      -10.18
  453      -47.58      -41.69      102.07      0.2413       -9.78
  454      -47.17      -41.27      101.03      0.2526       -8.47
  455      -46.78      -40.89      100.04      0.2631       -6.83
  456      -46.43      -40.54       99.07      0.2729       -5.41
  457      -46.09      -40.21       98.14      0.2820       -4.54
  458      -45.78      -39.90       97.23      0.2907       -4.31
  459      -45.49      -39.62       96.35      0.2988       -4.78
  460      -45.22      -39.35       95.48      0.3064       -5.97
  461      -44.97      -39.10       94.63      0.3136       -7.22
  462      -44.73      -38.87       93.80      0.3204       -7.33
  463      -44.50      -38.65       92.98      0.3267       -5.84
  464      -44.29      -38.44       92.18      0.3328       -3.61
  465      -44.09      -38.25       91.39      0.3384       -1.79
  466      -43.91      -38.07       90.60      0.3437       -0.72
  467      -43.73      -37.90       89.83      0.3488       -0.19
  468      -43.57      -37.74       89.07      0.3535        0.07
  469      -43.42      -37.59       88.32      0.3579        0.20
  470      -43.27      -37.45       87.57      0.3620        0.27
  471      -43.14      -37.33       86.83      0.3658        0.31
  472      -43.02      -37.21       86.09      0.3694        0.34
  473      -42.90      -37.10       85.37      0.3727        0.37
  474      -42.80      -36.99       84.64      0.3758        0.39
  475      -42.70      -36.90       83.93      0.3786        0.31
  476      -42.61      -36.82       83.21      0.3812        0.06
  477      -42.53      -36.74       82.50      0.3835       -0.41
  478      -42.46      -36.67       81.79      0.3856       -1.19
  479      -42.40      -36.61       81.09      0.3875       -2.40
  480      -42.34      -36.56       80.39      0.3891       -3.93
  481      -42.29      -36.51       79.69      0.3906       -5.23
  482      -42.25      -36.47       79.00      0.3918       -5.51
  483      -42.22      -36.44       78.30      0.3927       -4.60
  484      -42.19      -36.41       77.61      0.3935       -3.27
  485      -42.17      -36.40       76.91      0.3940       -2.42
  486      -42.16      -36.38       76.22      0.3943       -2.35
  487      -42.16      -36.38       75.53      0.3945       -2.79
  488      -42.16      -36.38       74.84      0.3943       -3.16
  489      -42.18      -36.40       74.15      0.3940       -2.92
  490      -42.19      -36.41       73.45      0.3935       -2.02
  491      -42.22      -36.44       72.76      0.3927       -0.90
  492      -42.25      -36.47       72.06      0.3917        0.02
  493      -42.29      -36.51       71.37      0.3905        0.75
  494      -42.34      -36.56       70.67      0.3891        1.54
  495      -42.40      -36.61       69.97      0.3875        2.49
  496      -42.46      -36.67       69.26      0.3856        3.22
  497      -42.53      -36.74       68.56      0.3835        3.27
  498      -42.61      -36.82       67.85      0.3811        2.57
  499      -42.70      -36.90       67.13      0.3786        1.51
  500      -42.80      -37.00       66.41      0.3757        0.52
  501      -42.91      -37.10       65.69      0.3727       -0.23
  502      -43.02      -37.21       64.96      0.3693       -0.76
  503      -43.14      -37.33       64.23      0.3658       -1.07
  504      -43.28      -37.46       63.49      0.3619       -1.23
  505      -43.42      -37.60       62.74      0.3578       -1.40
  506      -43.57      -37.74       61.99      0.3534       -1.76
  507      -43.74      -37.90       61.23      0.3487       -2.20
  508      -43.91      -38.07       60.45      0.3436       -2.37
  509      -44.10      -38.25       59.67      0.3383       -2.11
  510      -44.30      -38.45       58.88      0.3326       -1.59
  511      -44.51      -38.65       58.07      0.3266       -0.95
  512      -44.73      -38.87       57.26      0.3202       -0.29
  513      -44.97      -39.11       56.42      0.3135        0.20
  514      -45.23      -39.36       55.57      0.3063        0.31
  515      -45.50      -39.62       54.71      0.2986        0.10
  516      -45.79      -39.91       53.82      0.2905       -0.21
  517      -46.10      -40.22       52.91      0.2819       -0.53
  518      -46.43      -40.54       51.98      0.2727       -0.94
  519      -46.79      -40.90       51.02      0.2629       -1.57
  520      -47.17      -41.28       50.02      0.2523       -2.47
  521      -47.59      -41.69       48.98      0.2410       -3.40
  522      -48.04      -42.15       47.90      0.2289       -3.80
  523      -48.54      -42.64       46.77      0.2157       -3.33
  524      -49.08      -43.19       45.57      0.2012       -2.25
  525      -49.69      -43.81       44.28      0.1852       -1.11
  526      -50.38      -44.51       42.88      0.1673       -0.31
  527      -51.19      -45.33       41.33      0.1468       -0.00
