# VLA smeared map of saturn, Q band, 0.62 - 0.75 cm, 40 - 48.4 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      -0.0       0.1     -1.50      1.27      0.88     0.023        12
       0.1       0.2     -1.58      1.30      0.88     0.030         8
       0.2       0.3     -1.23      1.13      0.88     0.031        11
       0.3       0.4     -0.93      0.99      0.89     0.028        22
       0.4       0.5     -0.71      1.01      0.89     0.022        13
       0.5       0.6     -1.31      1.51      0.88     0.016         8
       0.6       0.7     -1.50      1.02      0.87     0.034         8
       0.7       0.8     -0.98      1.17      0.88     0.024        10
       0.8       0.9     -1.61      0.98      0.90     0.010        10
       0.9       1.0     -1.21      1.22      0.90     0.021        10
       1.0       1.1     -0.66      0.84      0.89     0.030        18
       1.1       1.2     -0.57      0.82      0.90     0.022        18
       1.2       1.3     -0.78      1.25      0.89     0.018         8
       1.3       1.4     -0.62      1.12      0.87     0.031        12
       1.4       1.5     -0.43      1.15      0.88     0.024        10
       1.5       1.6     -0.78      0.61      0.90     0.015         7
       1.6       1.7     -0.39      0.93      0.89     0.025        13
       1.7       1.8     -0.25      0.72      0.90     0.029        14
       1.8       1.9      0.26      0.76      0.91     0.020        21
       1.9       2.0      0.40      1.10      0.86     0.048         6
       2.0       2.1     -0.08      1.04      0.88     0.026        11
       2.1       2.2      0.41      1.08      0.89     0.024        10
       2.2       2.3      0.14      0.53      0.91     0.014         9
       2.3       2.4      0.80      0.70      0.90     0.026        15
       2.4       2.5      0.29      1.09      0.90     0.041        14
       2.5       2.6      1.46      0.80      0.91     0.028        22
       2.6       2.7      0.64      1.59      0.87     0.034         7
       2.7       2.8      1.30      1.11      0.89     0.022        12
       2.8       2.9      1.48      0.94      0.90     0.017         8
       2.9       3.0      1.48      0.46      0.91     0.014         9
       3.0       3.1      1.53      1.11      0.89     0.031        10
       3.1       3.2      2.07      0.60      0.92     0.015        14
       3.2       3.3      2.90      0.97      0.91     0.027        22
       3.3       3.4      2.05      0.98      0.90     0.017         8
       3.4       3.5      1.81      1.10      0.89     0.024        10
       3.5       3.6      2.64      0.83      0.90     0.015        10
       3.6       3.7      2.54      0.71      0.90     0.023        10
       3.7       3.8      2.32      1.10      0.90     0.038        12
       3.8       3.9      2.23      1.25      0.90     0.041        17
       3.9       4.0      3.82      1.20      0.92     0.021        21
       4.0       4.1      2.15      1.27      0.90     0.022         9
       4.1       4.2      2.17      1.13      0.90     0.030         8
       4.2       4.3      1.78      1.43      0.88     0.043        11
       4.3       4.4      2.84      1.01      0.90     0.023        10
       4.4       4.5      3.12      0.26      0.92     0.014         9
