# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
     1.73e+03    1.73e+03     107.403       0.001
     1.73e+03    1.73e+03     107.288       0.001
     1.73e+03    1.73e+03     107.162       0.001
     1.74e+03    1.74e+03     107.021       0.001
     1.74e+03    1.74e+03     106.863       0.001
     1.74e+03    1.74e+03     106.683       0.001
     1.74e+03    1.74e+03     106.474       0.001
     1.75e+03    1.75e+03     106.223       0.001
     1.75e+03    1.75e+03     105.915       0.001
     1.75e+03    1.75e+03     105.518       0.001
     1.76e+03    1.76e+03     104.975       0.001
     1.76e+03    1.76e+03     104.175       0.001
     1.76e+03    1.76e+03     103.160       0.001
     1.77e+03    1.77e+03     103.657       0.001
     1.77e+03    1.77e+03     104.581       0.001
     1.77e+03    1.77e+03     105.184       0.001
     1.77e+03    1.77e+03     105.589       0.001
     1.78e+03    1.78e+03     105.870       0.001
     1.78e+03    1.78e+03     106.065       0.001
     1.78e+03    1.78e+03     106.192       0.001
     1.79e+03    1.79e+03     106.257       0.001
     1.79e+03    1.79e+03     106.260       0.001
     1.79e+03    1.79e+03     106.196       0.001
      1.8e+03     1.8e+03     106.053       0.001
      1.8e+03     1.8e+03     105.809       0.001
      1.8e+03     1.8e+03     105.424       0.001
      1.8e+03     1.8e+03     104.819       0.001
     1.81e+03    1.81e+03     103.975       0.001
     1.81e+03    1.81e+03     103.953       0.001
     1.81e+03    1.81e+03     104.733       0.001
     1.82e+03    1.82e+03     105.336       0.001
     1.82e+03    1.82e+03     105.738       0.001
     1.82e+03    1.82e+03     106.021       0.001
     1.83e+03    1.83e+03     106.229       0.001
     1.83e+03    1.83e+03     106.388       0.001
     1.83e+03    1.83e+03     106.513       0.001
     1.83e+03    1.83e+03     106.614       0.001
     1.84e+03    1.84e+03     106.696       0.001
     1.84e+03    1.84e+03     106.763       0.001
     1.84e+03    1.84e+03     106.820       0.001
     1.85e+03    1.85e+03     106.867       0.001
     1.85e+03    1.85e+03     106.907       0.001
     1.85e+03    1.85e+03     106.940       0.001
     1.86e+03    1.86e+03     106.969       0.001
     1.86e+03    1.86e+03     106.993       0.001
     1.86e+03    1.86e+03     107.014       0.001
     1.86e+03    1.86e+03     107.032       0.001
     1.87e+03    1.87e+03     107.047       0.001
     1.87e+03    1.87e+03     107.059       0.001
     1.87e+03    1.87e+03     107.069       0.001
     1.88e+03    1.88e+03     107.077       0.001
     1.88e+03    1.88e+03     107.084       0.001
